Date;SNBSD;SPIEX;SMI;SMI Mid;CHF USD;CHF EUR
2007-12-28;69.04120523;205.8205912;145.5877331;197.4028106;1.129;1.66015
2008-01-04;83.04756204;199.2966361;139.5050903;189.7240198;1.10695;1.63545
2008-01-11;51.37897122;189.490316;140.0147227;179.511573;1.1018;1.62975
2008-01-18;36.93789997;178.7155963;131.9892994;168.5847898;1.1017;1.61115
2008-01-25;85.02871966;180.5300714;131.9017868;171.9313888;1.09615;1.6111
2008-02-01;72.12268924;184.8827727;134.1170576;175.2479924;1.08225;1.60415
2008-02-08;63.98854064;180.9582059;127.7847464;169.7980633;1.10525;1.6022
2008-02-15;86.05208022;186.0040775;126.1726264;174.9744922;1.0911;1.60265
2008-02-22;87.48164935;186.5953109;127.9185892;176.346599;1.08615;1.60905
2008-02-29;85.34085888;185.6574924;129.2760646;176.2378366;1.0438;1.5846
2008-03-07;66.93747238;180.2650357;123.1036784;170.8754133;1.0251;1.5741
2008-03-14;56.99177606;177.3904179;122.3809271;167.4977563;1.00695;1.57145
2008-03-20;91.8658514;170.6218145;120.2845705;160.6093529;1.0108;1.5583
2008-03-28;91.7589544;178.4505607;124.2224674;168.3854511;0.99825;1.57305
2008-04-04;53.95590143;183.1702345;129.9560892;173.0555031;1.0031;1.5791
2008-04-11;78.64483117;176.9317023;124.5589621;164.9119036;1.00135;1.5841
2008-04-18;74.28913499;181.5392457;127.2883267;170.8997402;1.0253;1.61295
2008-04-25;57.01458075;183.82263;128.8577199;173.4740198;1.0322;1.6164
2008-05-02;66.85195479;187.8389399;131.5400679;177.9828767;1.05825;1.6302
2008-05-09;67.3151751;187.5127421;128.4199851;177.8651393;1.04405;1.61125
2008-05-16;57.11577657;190.8460754;131.3326115;181.3060935;1.04785;1.6296
2008-05-23;78.60919884;187.3700306;128.0076462;177.3474256;1.0247;1.6158
2008-05-30;69.9562435;190.1427115;128.8887783;180.7867265;1.04475;1.62365
2008-06-06;72.64719716;189.1539246;126.7460915;179.0572744;1.023;1.6096
2008-06-13;103.1769787;184.4342508;124.6003161;173.597898;1.0506;1.612
2008-06-20;72.35643734;179.7859327;121.306924;168.1845772;1.034;1.6164
2008-06-27;69.02410171;174.1284404;117.7394972;161.7318139;1.01995;1.60645
2008-07-04;63.06067473;166.6972477;116.2157478;153.6969769;1.0238;1.60655
2008-07-11;82.00139679;162.0795107;113.9189702;147.9829948;1.017;1.618
2008-07-18;62.68297202;165.9633028;117.152133;154.2436231;1.0212;1.61885
2008-07-25;72.77119767;167.7879715;120.3732843;156.8657298;1.03965;1.6292
2008-07-31;77.12404327;167.7268094;122.5384498;155.761573;1.048;1.63515
2008-08-08;72.37496615;170.8868502;124.6128424;160.4450874;1.0815;1.62565
2008-08-15;83.84145038;171.9367992;124.1639541;162.0697922;1.0965;1.61075
2008-08-22;78.06758741;169.2456677;121.7304165;158.1679263;1.09625;1.62415
2008-08-29;74.41883668;172.8236493;124.2120002;163.4016297;1.09835;1.61705
2008-09-05;73.55938484;169.3476045;119.7136793;160.1824516;1.1089;1.58185
2008-09-12;72.43482847;170.6116208;123.8132172;162.5060227;1.13235;1.60505
2008-09-19;75.35240376;169.7553517;120.54728;164.0042513;1.1076;1.59575
2008-09-26;72.07850515;162.3445464;116.9498244;154.9708314;1.08795;1.5891
2008-10-03;133.1223899;152.5280326;118.0531699;144.8102267;1.1326;1.56385
2008-10-10;108.6429783;128.7971458;91.75476558;121.5741615;1.12275;1.5164
2008-10-17;106.9283505;130.8562691;104.6654529;122.9609117;1.1337;1.52495
2008-10-24;104.8374453;121.9571865;97.38079836;114.4341049;1.15215;1.46735
2008-10-31;143.4073061;126.3200815;105.585022;119.1158479;1.16805;1.48115
2008-11-07;88.83710323;127.0948012;103.0960597;120.7392537;1.17565;1.50315
2008-11-14;94.86894429;122.2324159;100.1204586;116.3163675;1.19215;1.51145
2008-11-21;222.1989424;112.8950051;88.26798771;107.0379074;1.22465;1.53195
2008-11-28;355.7218398;121.4882773;99.80901655;116.8571091;1.21465;1.5413
2008-12-05;222.0792178;115.1478084;94.90556357;108.5508975;1.22195;1.5491
2008-12-12;478.1516797;117.9408767;96.71295685;113.3373878;1.1777;1.5747
2008-12-19;631.8196719;117.8593272;93.68759363;114.3605338;1.10855;1.5445
2008-12-26;509.4311655;117.2986748;92.65322862;112.9599669;1.0703;1.5042
2009-01-02;530.0124001;119.0927625;94.96888154;114.5582192;1.071;1.49235
2009-01-09;556.1351748;122.4566769;97.76087773;118.2497638;1.10845;1.4974
2009-01-16;571.3573068;117.2579001;93.27027848;112.7312234;1.1193;1.4832
2009-01-23;527.6863215;112.7930683;91.06307259;107.9120217;1.16925;1.49555
2009-01-30;645.0592209;115.637105;90.77376611;111.2764525;1.1607;1.48745
2009-02-06;626.8297202;116.8399592;87.90884272;114.3546292;1.1695;1.5031
2009-02-13;743.6752612;116.3506626;87.97319025;113.5138167;1.1587;1.4958
2009-02-20;648.3659013;109.1335372;83.24373298;105.2699575;1.178;1.4861
2009-02-27;640.7548353;105.9836901;80.48880096;101.6763108;1.165;1.4796
2009-03-06;637.9327547;99.7961264;73.98438157;96.09482759;1.1527;1.4594
2009-03-13;634.2840039;104.6381244;81.10773835;102.0713274;1.18825;1.53175
2009-03-20;749.1768931;107.9816514;82.14484885;105.5245631;1.12415;1.525
2009-03-27;914.4111401;108.9602446;83.60596665;105.4326878;1.14375;1.52185
2009-04-03;985.1341914;113.3333333;86.5343796;109.8481342;1.1344;1.5229
2009-04-09;948.2761078;114.8623853;87.00814897;111.0355456;1.15235;1.52195
2009-04-17;1039.252576;118.4607543;89.10210322;114.7812943;1.1652;1.5199
2009-04-24;994.726415;120.8460754;87.73656295;117.1576523;1.14005;1.51075
2009-05-01;1150.111886;123.0173293;89.67333765;119.6931979;1.13705;1.50695
2009-05-08;942.5749348;128.3690112;92.50617307;124.1516297;1.121;1.5116
2009-05-15;799.8888271;126.3404689;91.8139653;121.1819792;1.10475;1.50185
2009-05-22;817.6194752;129.011213;92.81933103;123.5421587;1.08715;1.5209
2009-05-29;872.1511951;128.0733945;91.79800711;122.6888285;1.06645;1.5095
2009-06-05;896.1103747;131.1009174;92.64156026;126.7665328;1.08345;1.5177
2009-06-12;835.7634583;132.3547401;94.75112951;127.6747756;1.07995;1.5115
2009-06-19;836.5188638;128.5321101;93.03090569;123.1084081;1.08445;1.5103
2009-06-26;903.0087941;128.2262997;92.24843979;123.1465517;1.0854;1.5271
2009-07-03;1005.615655;127.706422;91.60530773;122.507794;1.08575;1.5203
2009-07-10;957.8255726;125.1783894;89.8773622;119.840222;1.0853;1.51305
2009-07-17;960.9327119;128.8583078;95.99174979;124.0798299;1.0782;1.5214
2009-07-24;894.4142757;131.4271152;98.85324131;126.1904818;1.07225;1.5226
2009-07-31;888.1287325;135.9938838;102.1099124;131.4338687;1.07625;1.5258
2009-08-07;900.7995895;138.3180428;103.4092177;133.9227681;1.08;1.5345
2009-08-14;888.9696555;139.7043833;102.7037972;134.9696504;1.07135;1.5251
2009-08-21;885.5346988;141.9266055;105.3549152;137.4026925;1.06185;1.51855
2009-08-28;825.5013469;144.1997961;106.5866126;139.5549126;1.05545;1.517
2009-09-04;814.498083;142.1916412;104.9992021;137.4409542;1.0659;1.51715
2009-09-11;772.1668733;147.9918451;106.9539941;143.8535664;1.0357;1.51345
2009-09-18;702.4272744;150.6523955;108.5353989;145.7759802;1.02855;1.51425
2009-09-25;635.6095267;148.3486239;107.0212587;143.0395607;1.02785;1.51
2009-10-02;674.1494563;145.4638124;105.5328576;139.2032357;1.0345;1.51085
2009-10-09;722.5524152;150.1529052;107.9603894;145.2570855;1.02865;1.518
2009-10-16;703.2824504;150.7135576;108.8804732;145.6228153;1.01985;1.51715
2009-10-23;645.6293382;148.7767584;109.4432995;143.1112423;1.008;1.5138
2009-10-30;635.9088382;144.3730887;107.8594925;138.6359235;1.02425;1.5112
2009-11-06;600.3050128;146.6462793;107.9941933;141.9743741;1.0155;1.51015
2009-11-13;605.8066447;149.3781855;108.9803405;145.662376;1.01415;1.5098
2009-11-20;635.0536623;147.3292559;107.7170699;142.4904346;1.01955;1.51365
2009-11-27;664.3291857;145.9938838;108.7329029;141.7860179;1.00555;1.5061
2009-12-04;619.6462422;148.6136595;111.5556143;145.1944969;1.01295;1.5082
2009-12-11;591.7390003;147.166157;110.0184806;143.5934105;1.0342;1.51225
2009-12-18;589.2874959;147.8695209;110.9234642;144.0246812;1.04705;1.49485
2009-12-25;577.6285971;149.745158;112.908285;146.4550071;1.0384;1.4908
2010-01-01;588.0902496;150.3465851;112.3234947;146.690718;1.03375;1.48315
2010-01-08;602.2006528;155.8817533;113.5584524;152.2759802;1.0319;1.47825
2010-01-15;570.8014424;156.7380224;112.8401625;152.9409542;1.02625;1.47455
2010-01-22;536.7226807;154.7298675;111.432067;150.6493859;1.04025;1.46975
2010-01-29;541.5401719;154.2099898;110.5185038;149.8931271;1.0541;1.46515
2010-02-05;546.7282393;150.2650357;107.4917678;144.9744922;1.0737;1.46775
2010-02-12;523.1538889;150.3873598;110.0977568;144.8790742;1.07925;1.46885
2010-02-19;553.4413706;153.0988787;115.1336798;148.2893245;1.0838;1.46445
2010-02-26;588.3753082;153.1600408;115.1561586;147.8578177;1.0728;1.46405
2010-03-05;594.6893573;158.2262997;117.5033847;154.0779405;1.07525;1.46315
2010-03-12;624.2926982;159.7655454;117.3115433;154.4579594;1.0602;1.45845
2010-03-19;681.9743162;161.4067278;118.0692997;155.8872225;1.06165;1.43615
2010-03-26;635.9801029;163.4556575;117.3518677;158.4387104;1.06625;1.4286
2010-04-02;661.307564;165.6472987;118.2093199;159.8986774;1.04685;1.4172
2010-04-09;750.5736805;167.9510703;118.2101779;162.5768777;1.0692;1.4376
2010-04-16;774.0340075;168.6238532;118.29117;163.1668635;1.06085;1.4329
2010-04-23;643.562663;168.6034659;116.1338978;163.3507322;1.0742;1.43515
2010-04-30;690.5830875;164.2405708;113.5402635;158.5030704;1.078;1.43335
2010-05-07;863.8132296;151.5698267;106.4845146;145.3437648;1.11195;1.40665
2010-05-14;1083.294138;157.0948012;110.3119053;151.6641474;1.12775;1.40125
2010-05-21;1123.230855;151.9775739;106.5009875;145.7390175;1.14845;1.4421
2010-05-28;1475.463577;154.6992864;108.4801458;148.9976382;1.15745;1.42735
2010-06-04;1325.593991;154.7400612;108.0861673;149.0125177;1.15985;1.396
2010-06-11;979.076695;157.0234455;110.2786162;152.363368;1.14955;1.3902
2010-06-18;736.6770713;158.216106;110.627294;153.1466698;1.1096;1.37405
2010-06-25;688.9582532;155.1478084;107.6808637;149.2045347;1.09645;1.3478
2010-07-02;873.0491299;150.9174312;102.5150445;144.3189655;1.0654;1.34255
2010-07-09;1061.28761;155.2191641;106.5679089;149.412376;1.05745;1.33595
2010-07-16;774.1052722;155.4740061;106.119707;149.6492678;1.0483;1.3578
2010-07-23;675.888314;155.2191641;106.4093566;149.1747756;1.0534;1.35025
2010-07-30;731.3179687;156.3608563;106.4012918;150.135333;1.04625;1.36305
2010-08-06;723.4075911;159.3985729;108.470365;153.3308928;1.0356;1.3765
2010-08-13;676.5154431;155.8715596;108.0067196;148.8435286;1.05285;1.34355
2010-08-20;607.2746968;155.351682;106.144588;148.4233585;1.03655;1.3149
2010-08-27;509.8559029;154.138634;106.098601;147.5707369;1.02825;1.30785
2010-09-03;407.8049059;157.5127421;109.8319586;151.2380727;1.0167;1.30775
2010-09-10;370.8898106;157.9510703;110.9812912;151.4950402;1.02215;1.3008
2010-09-17;401.0775217;158.440367;109.6313659;151.6079358;1.0107;1.3185
2010-09-24;361.3973575;160.3669725;109.1466145;153.813179;0.9832;1.32495
2010-10-01;429.3838457;162.0183486;107.8322091;155.400803;0.97535;1.34075
2010-10-08;470.6603384;163.8124363;109.1876254;157.2296882;0.96145;1.3395
2010-10-15;450.3499095;165.667686;110.5577987;159.3963155;0.95745;1.3415
2010-10-22;459.115463;166.7991845;111.1432753;159.8974965;0.97565;1.3586
2010-10-29;408.2467468;167.1253823;111.0591946;159.8605338;0.9835;1.367
